DBN,School Name,Grade Level,Program Type,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size,Department,Subject,School Pupil-Teacher Ratio
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,73,3,24.3,14.0,30.0,English,MS English Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,73,3,24.3,14.0,30.0,Math,MS Math Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,73,3,24.3,14.0,30.0,Science,MS Science Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,73,3,24.3,14.0,30.0,Social Studies,MS Social Studies Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,85,3,28.3,24.0,31.0,English,MS English Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,85,3,28.3,24.0,31.0,Math,MS Math Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,85,3,28.3,24.0,31.0,Science,MS Science Core,9.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,85,3,28.3,24.0,31.0,Social Studies,MS Social Studies Core,9.0
01M140,P.S. 140 NATHAN STRAUS,MS Core,Accelerated,13,1,13.0,13.0,13.0,Science,MS Science Other,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,82,3,27.3,26.0,28.0,English,MS English Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,27,1,27.0,27.0,27.0,English,MS English Other,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,82,3,27.3,26.0,28.0,Math,MS Math Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,69,3,23.0,13.0,28.0,Science,MS Science Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,82,3,27.3,26.0,28.0,Social Studies,MS Social Studies Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,83,3,27.7,25.0,30.0,English,MS English Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,71,3,23.7,13.0,30.0,Math,MS Math Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,79,3,26.3,21.0,30.0,Science,MS Science Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,83,3,27.7,25.0,30.0,Social Studies,MS Social Studies Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,21,2,10.5,8.0,13.0,English,MS English Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,33,3,11.0,8.0,13.0,Math,MS Math Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,21,2,10.5,8.0,13.0,Science,MS Science Core,12.6
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,21,2,10.5,8.0,13.0,Social Studies,MS Social Studies Core,12.6
01M184,P.S. 184M SHUANG WEN,MS Core,Accelerated,54,2,27.0,27.0,27.0,Math,MS Integrated Algebra,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,Accelerated,55,2,27.5,25.0,30.0,Science,MS Science Other,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,254,10,25.4,14.0,31.0,English,MS English Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,58,2,29.0,28.0,30.0,Math,MS Math Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,58,2,29.0,28.0,30.0,Science,MS Science Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,108,4,27.0,25.0,30.0,Social Studies,MS Social Studies Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,142,6,23.7,14.0,32.0,Math,MS Math Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,141,6,23.5,14.0,31.0,Science,MS Science Core,14.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,146,6,24.3,14.0,31.0,Social Studies,MS Social Studies Core,14.3
01M188,P.S. 188 THE ISLAND SCHOOL,HS Core,Gen Ed,47,2,23.5,47.0,47.0,English,HS English Other,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Accelerated,17,1,17.0,17.0,17.0,Math,MS Integrated Algebra,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Accelerated,18,1,18.0,18.0,18.0,Science,MS Science Other,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Gen Ed,83,2,41.5,26.0,57.0,English,MS English Other,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Gen Ed,74,2,37.0,23.0,51.0,Math,MS Math Core,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Gen Ed,74,3,24.7,23.0,26.0,Science,MS Science Core,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,ICT,73,3,24.3,23.0,26.0,Math,MS Math Core,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,ICT,74,3,24.7,23.0,27.0,Science,MS Science Core,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,SC,15,1,15.0,15.0,15.0,Math,MS Math Core,11.1
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,SC,15,1,15.0,15.0,15.0,Science,MS Science Core,11.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,60,3,20.0,18.0,24.0,English,HS English 09,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,7,1,7.0,7.0,7.0,English,HS English 10,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,28,2,14.0,12.0,16.0,English,HS English 11,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,27,2,13.5,13.0,14.0,English,HS English Other,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,38,2,19.0,17.0,21.0,Math,HS Algebra I,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,15,1,15.0,15.0,15.0,Math,HS Math Other,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,8,1,8.0,8.0,8.0,Math,HS Pre-calculus,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,21,1,21.0,21.0,21.0,Science,HS Living Environment,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,40,3,13.3,7.0,19.0,Science,HS Other Life Science,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,14,1,14.0,14.0,14.0,Science,HS Other Science,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,37,2,18.5,18.0,19.0,Social Studies,HS Global History,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,23,2,11.5,11.0,12.0,Social Studies,HS Social Studies Other,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,39,2,19.5,17.0,22.0,Social Studies,HS US History,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,24,1,24.0,24.0,24.0,English,HS English 09,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,38,2,19.0,19.0,19.0,English,HS English 11,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,33,2,16.5,14.0,19.0,English,HS English 12,7.1
