Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
24,0.8192072072072072,0.7241793172761389,0.9142350971382754,0.565421146953405,0.3146483224290582,0.8161939714777517
"(24, 24)",0.8353513513513514,0.7256339016004604,0.9450688011022425,0.6062576064908722,0.3324495338827252,0.8800656790990193
"(24, 24, 24)",0.811135135135135,0.7263688437795341,0.8959014264907359,0.5659074664348498,0.33849369591844436,0.7933212369512552
"(24, 24, 24, 24)",0.8164324324324325,0.6977321151423654,0.9351327497224995,0.588655830753354,0.27574618647473703,0.901565475031971
"(24, 24, 24, 49)",0.8056576576576575,0.6880455471430662,0.9232697681722488,0.5295689888858769,0.23253898480494278,0.8265989929668109
"(24, 24, 24, 99)",0.8109909909909909,0.6672771821924628,0.954704799789519,0.543728602552132,0.19890551166755144,0.8885516934367125
"(24, 24, 24, 148)",0.8246486486486487,0.7507029320692669,0.8985943652280306,0.5736243501566082,0.32305951145007206,0.8241891888631443
"(24, 24, 24, 198)",0.8056936936936937,0.6929630030813994,0.918424384305988,0.5525362050978749,0.29224408554266074,0.8128283246530892
"(24, 24, 49)",0.8218018018018018,0.6868002613031168,0.9568033423004869,0.5794944085266666,0.22888158958663196,0.9301072274667012
"(24, 24, 49, 24)",0.8002162162162163,0.6560104341227468,0.9444219983096858,0.5139764866520085,0.1749836671175588,0.852969306186458
"(24, 24, 49, 49)",0.8191711711711711,0.714288941633995,0.9240534007083472,0.5523811670261974,0.26642941193250913,0.8383329221198857
"(24, 24, 49, 99)",0.8164324324324325,0.7013328035664625,0.9315320612984024,0.5577776661276301,0.29544409415685513,0.8201112380984051
"(24, 24, 49, 148)",0.8110630630630631,0.708267077270616,0.9138590488555102,0.549441466241669,0.2860034137613555,0.8128795187219825
"(24, 24, 49, 198)",0.8029909909909911,0.712302636478671,0.8936793455033113,0.5496207907776317,0.3082029795635379,0.7910386019917255
"(24, 24, 99)",0.8245405405405405,0.7066086630829505,0.9424724179981305,0.5749992926463514,0.28799438079661455,0.8620042044960883
"(24, 24, 99, 24)",0.8273153153153153,0.7436975972647563,0.9109330333658744,0.5989561594010983,0.38088125633830033,0.8170310624638961
"(24, 24, 99, 49)",0.8164684684684685,0.7076228854039733,0.9253140515329638,0.5599977193942711,0.2661552241985276,0.8538402145900146
"(24, 24, 99, 99)",0.8192072072072072,0.7241793172761389,0.9142350971382754,0.577079107505071,0.367530494043782,0.7866277209663599
"(24, 24, 99, 148)",0.8138018018018018,0.7132602465122733,0.9143433570913304,0.5629948556427323,0.321775737782263,0.8042139735032017
"(24, 24, 99, 198)",0.821873873873874,0.7271393705016717,0.9166083772460764,0.5937728937728938,0.3856886140792531,0.8018571734665345
"(24, 24, 148)",0.8164684684684685,0.6989454662154344,0.9339914707215027,0.5673936026023313,0.2677316905347095,0.867055514669953
"(24, 24, 148, 24)",0.8138018018018018,0.710506925292091,0.9170966783115126,0.5819793052815124,0.3122713548958067,0.8516872556672181
"(24, 24, 148, 49)",0.8219099099099099,0.7287027367004414,0.9151170831193783,0.5698529411764706,0.31975714638096736,0.8199487359719737
"(24, 24, 148, 99)",0.7975495495495496,0.6782131262676063,0.9168859728314929,0.5435510510510511,0.2607229021403907,0.8263791999617114
"(24, 24, 148, 148)",0.819135135135135,0.6992773481793548,0.9389929220909152,0.5600975874220656,0.24921192275380732,0.8709832520903239
"(24, 24, 148, 198)",0.8245765765765766,0.724678644062887,0.9244745090902662,0.5974683665868316,0.33933712250154885,0.8555996106721142
"(24, 24, 198)",0.8083963963963965,0.7010481541229673,0.9157446386698257,0.5480268199233717,0.2863580541806645,0.8096955856660788
"(24, 24, 198, 24)",0.8084324324324325,0.733461619501488,0.8834032453633769,0.5455576202026506,0.32211951363291297,0.7689957267723884
"(24, 24, 198, 49)",0.8056936936936937,0.6954803486178556,0.9159070387695318,0.5458877298350983,0.23642666565446274,0.8553487940157338
"(24, 24, 198, 99)",0.811027027027027,0.6894860151533578,0.9325680389006962,0.5322058823529411,0.22404860417037759,0.8403631605355046
"(24, 24, 198, 148)",0.8164684684684685,0.7089196545926735,0.9240172823442636,0.5639698638075921,0.300902568346891,0.8270371592682931
"(24, 24, 198, 198)",0.803027027027027,0.709341572376114,0.89671248167794,0.5510796690107035,0.31827726387740096,0.783882074144006
"(24, 49)",0.8273153153153153,0.7356911334374919,0.9189394971931387,0.5887208752322036,0.3061278879253954,0.8713138625390118
"(24, 49, 24)",0.8353873873873873,0.7269688862293242,0.9438058885454503,0.6283201708201709,0.364236959474134,0.8924033821662078
"(24, 49, 24, 24)",0.8219099099099101,0.7121149183282617,0.9317049014915585,0.5740074039884286,0.2526691368050269,0.8953456711718304
"(24, 49, 24, 49)",0.8164684684684685,0.7089196545926735,0.9240172823442636,0.5606336405529954,0.2712454484234328,0.8500218326825579
"(24, 49, 24, 99)",0.8165765765765766,0.720219465174342,0.9129336879788111,0.5578612479474548,0.2934697161276338,0.8222527797672758
"(24, 49, 24, 148)",0.8083603603603604,0.6874757523170669,0.9292449684036539,0.5470705906996229,0.2523804724025695,0.8417607089966763
"(24, 49, 24, 198)",0.803027027027027,0.6941063500859469,0.9119477039681071,0.5412315373605696,0.24465777418771234,0.8378053005334269
"(24, 49, 49)",0.821873873873874,0.7146351289716065,0.9291126187761415,0.5776038970004487,0.2691120501647733,0.8860957438361241
"(24, 49, 49, 24)",0.8218738738738738,0.7242221800723996,0.919525567675348,0.5903675136116152,0.341385639364689,0.8393493878585414
"(24, 49, 49, 49)",0.811135135135135,0.6884872465522103,0.9337830237180598,0.5605456733632777,0.23687502032400665,0.8842163264025487
"(24, 49, 49, 99)",0.794918918918919,0.6874611051515434,0.9023767326862946,0.5202863820438904,0.2106024118882503,0.8299703521995305
"(24, 49, 49, 148)",0.8030630630630631,0.7156649707309071,0.8904611553952191,0.5452599150875013,0.31890544673636584,0.7716143834386366
"(24, 49, 49, 198)",0.7921081081081082,0.6466931386406717,0.9375230775755446,0.5103385394644688,0.15729247139317826,0.8633846075357594
"(24, 49, 99)",0.819135135135135,0.6992773481793548,0.9389929220909152,0.5535185683898289,0.18337929857536656,0.9236578382042913
"(24, 49, 99, 24)",0.8165405405405405,0.7230349750229674,0.9100461060581135,0.5685471743875817,0.2951728926126559,0.8419214561625076
"(24, 49, 99, 49)",0.8138018018018018,0.7065093404038313,0.9210942631997724,0.5793417366946778,0.30933946976982446,0.8493440036195312
"(24, 49, 99, 99)",0.8056936936936936,0.6756267401493061,0.9357606472380811,0.5680694524141459,0.25401172674077716,0.8821271780875146
