DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
01M034,158.0,158.0,158.0,158.0,6.0,6.0,6.0,6.0,26.333333333333332,26.333333333333332,26.333333333333332,26.333333333333332,9.0
01M140,213.0,186.0,182.0,186.0,9.0,9.0,9.0,8.0,23.666666666666668,20.666666666666668,20.22222222222222,23.25,12.599999999999996
01M184,254.0,254.0,254.0,254.0,10.0,10.0,10.0,10.0,25.4,25.4,25.4,25.4,14.299999999999999
01M188,83.0,179.0,181.0,,2.0,7.0,8.0,,41.5,25.571428571428573,22.625,,11.099999999999998
01M301,127.0,127.0,127.0,127.0,6.0,6.0,6.0,6.0,21.166666666666668,21.166666666666668,21.166666666666668,21.166666666666668,7.5
01M332,239.0,458.0,229.0,,13.0,24.0,11.0,,18.384615384615383,19.083333333333332,20.818181818181817,,9.700000000000001
01M378,282.0,335.0,282.0,268.0,14.0,16.0,14.0,13.0,20.142857142857142,20.9375,20.142857142857142,20.615384615384617,10.799999999999999
01M450,306.0,309.0,300.0,300.0,13.0,16.0,13.0,15.0,23.53846153846154,19.3125,23.076923076923077,20.0,13.700000000000001
01M539,412.0,392.0,412.0,412.0,15.0,15.0,15.0,15.0,27.466666666666665,26.133333333333333,27.466666666666665,27.466666666666665,18.900000000000002
01M839,,402.0,373.0,,,13.0,12.0,,,30.923076923076923,31.083333333333332,,12.9
02M104,1750.0,1138.0,1138.0,1173.0,64.0,41.0,41.0,43.0,27.34375,27.75609756097561,27.75609756097561,27.27906976744186,16.300000000000004
02M114,443.0,508.0,443.0,443.0,15.0,21.0,13.0,15.0,29.533333333333335,24.19047619047619,34.07692307692308,29.533333333333335,15.299999999999999
02M126,462.0,570.0,344.0,344.0,16.0,20.0,12.0,12.0,28.875,28.5,28.666666666666668,28.666666666666668,14.599999999999996
02M131,458.0,476.0,444.0,444.0,24.0,20.0,19.0,20.0,19.083333333333332,23.8,23.36842105263158,22.2,13.900000000000004
02M167,1349.0,1349.0,1349.0,1349.0,44.0,44.0,44.0,44.0,30.65909090909091,30.65909090909091,30.65909090909091,30.65909090909091,15.900000000000004
02M177,211.0,211.0,289.0,211.0,8.0,8.0,11.0,8.0,26.375,26.375,26.272727272727273,26.375,11.900000000000002
02M217,61.0,61.0,72.0,61.0,3.0,3.0,4.0,3.0,20.333333333333332,20.333333333333332,18.0,20.333333333333332,16.5
02M225,,68.0,68.0,,,2.0,3.0,,,34.0,22.666666666666668,,14.0
02M255,,390.0,521.0,,,12.0,16.0,,,32.5,32.5625,,16.7
02M260,377.0,327.0,290.0,302.0,11.0,11.0,9.0,10.0,34.27272727272727,29.727272727272727,32.22222222222222,30.2,14.8
02M276,275.0,274.0,275.0,275.0,9.0,9.0,9.0,9.0,30.555555555555557,30.444444444444443,30.555555555555557,30.555555555555557,14.299999999999999
02M289,282.0,290.0,282.0,282.0,9.0,10.0,9.0,9.0,31.333333333333332,29.0,31.333333333333332,31.333333333333332,14.799999999999999
02M312,,535.0,541.0,,,19.0,18.0,,,28.157894736842106,30.055555555555557,,16.0
02M347,52.0,63.0,28.0,18.0,3.0,4.0,2.0,2.0,17.333333333333332,15.75,14.0,9.0,4.1000000000000005
02M397,117.0,117.0,117.0,117.0,4.0,4.0,4.0,4.0,29.25,29.25,29.25,29.25,14.799999999999999
02M407,,,68.0,,,,3.0,,,,22.666666666666668,,18.3
02M408,160.0,95.0,95.0,95.0,5.0,3.0,3.0,3.0,32.0,31.666666666666668,31.666666666666668,31.666666666666668,20.099999999999998
02M413,,304.0,304.0,,,12.0,12.0,,,25.333333333333332,25.333333333333332,,14.5
02M422,275.0,275.0,275.0,275.0,11.0,11.0,11.0,11.0,25.0,25.0,25.0,25.0,11.799999999999999
02M442,69.0,69.0,69.0,69.0,3.0,3.0,3.0,3.0,23.0,23.0,23.0,23.0,15.4
02M655,66.0,66.0,66.0,66.0,3.0,3.0,3.0,3.0,22.0,22.0,22.0,22.0,13.9
02M896,256.0,444.0,389.0,128.0,8.0,12.0,12.0,4.0,32.0,37.0,32.416666666666664,32.0,13.2
02M933,250.0,266.0,250.0,250.0,7.0,9.0,8.0,9.0,35.714285714285715,29.555555555555557,31.25,27.77777777777778,12.099999999999998
03M054,868.0,849.0,849.0,849.0,32.0,30.0,30.0,30.0,27.125,28.3,28.3,28.3,17.199999999999996
03M076,184.0,160.0,160.0,160.0,8.0,7.0,8.0,7.0,23.0,22.857142857142858,20.0,22.857142857142858,15.400000000000004
03M149,82.0,79.0,82.0,82.0,4.0,4.0,4.0,4.0,20.5,19.75,20.5,20.5,10.700000000000001
