dbn,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,collaborative_teachers_percent,supportive_environment_percent,effective_school_leadership_percent,strong_family_community_ties_percent,trust_percent,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,sie_provided,in_bronx,in_brooklyn,in_manhattan,in_queens,in_staten
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,1,10009,0,0.86,31454.0,7,5,29,63,92,4,92.0,28.0,85.0,78.0,82.0,73.0,89.0,88.0,4.0,2.48,2.47,55,4,0,0,3,0,0,0,0,0,55,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0
01M140,P.S. 140 NATHAN STRAUS,1,10002,0,0.8490000000000001,34889.24,14,5,13,78,90,3,93.0,27.0,94.0,91.0,85.0,87.0,83.0,93.0,3.0,2.21,2.27,47,2,0,0,2,0,0,0,0,0,46,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
01M184,P.S. 184M SHUANG WEN,1,10002,0,0.5589999999999999,40809.9,17,71,4,12,15,9,98.0,2.0,90.0,81.0,91.0,67.0,83.0,85.0,4.0,3.24,3.63,72,22,0,0,2,14,3,0,0,15,72,36,0,0,2,29,4,0,0,29,1,0,0,1,0,0
01M188,P.S. 188 THE ISLAND SCHOOL,1,10002,1,0.917,27881.59,16,2,30,64,93,4,91.0,37.0,100.0,100.0,99.0,99.0,92.0,99.0,3.0,2.17,2.32,54,0,0,0,0,0,0,0,0,0,54,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
01M292,ORCHARD COLLEGIATE ACADEMY,1,10002,1,0.8320000000000001,,14,12,26,57,84,3,84.0,58.0,72.0,77.0,77.0,72.0,76.0,87.0,2.0,1.96,1.83,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",1,10003,0,0.7909999999999999,,6,8,29,55,84,4,90.0,35.0,84.0,78.0,81.0,80.0,74.0,87.0,3.0,2.29,2.0,48,1,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,1,10002,0,0.7709999999999999,,15,5,27,63,90,4,92.0,26.0,92.0,96.0,92.0,96.0,86.0,96.0,3.0,2.26,2.2,27,2,0,0,1,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01M378,SCHOOL FOR GLOBAL LEADERS,1,10002,0,0.764,,8,15,22,58,81,2,92.0,27.0,79.0,87.0,82.0,77.0,76.0,88.0,4.0,2.34,2.48,69,2,0,1,0,0,0,0,0,1,69,8,0,0,4,3,0,0,0,5,0,0,0,1,0,0
01M450,EAST SIDE COMMUNITY SCHOOL,1,10009,0,0.61,,1,11,21,53,74,12,97.0,5.0,92.0,95.0,92.0,96.0,88.0,95.0,4.0,2.82,2.9,80,7,0,1,2,0,4,0,0,4,78,9,0,2,0,0,3,0,0,5,0,0,0,1,0,0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,10002,0,0.257,76833.96,0,33,9,11,20,42,97.0,3.0,81.0,73.0,85.0,55.0,81.0,74.0,4.0,3.83,4.03,112,74,0,3,4,21,42,0,0,8,105,74,0,2,3,21,44,0,0,9,1,0,0,1,0,0
