dbn,gifted,selective
08X337,0,0
84R067,0,0
24Q093,0,0
84K793,0,0
16K681,0,0
17K394,0,0
32K347,0,0
02M442,0,0
06M319,0,0
23K137,0,0
01M332,0,0
75K369,0,0
03M291,0,0
20K201,0,0
08X376,0,0
84X493,0,0
17K382,0,0
11X181,0,0
84K711,0,0
30Q078,0,0
20K104,1,0
84K746,0,0
11X355,0,0
10X206,0,0
02M655,0,0
32K384,0,0
19K292,0,0
84K357,0,0
84K707,0,0
27Q262,0,0
10X363,0,0
02M225,0,0
19K089,0,0
18K066,0,0
21K098,0,0
29Q295,0,0
09X229,0,0
31R048,0,0
84K731,0,0
29Q283,0,0
09X454,0,0
09X004,0,0
84X165,0,0
06M143,0,0
27Q297,0,0
12X242,0,0
03M862,0,0
23K697,0,0
11X498,0,0
11X532,0,0
27Q043,0,0
08X301,0,0
28Q217,0,0
24Q119,1,0
11X089,0,0
28Q190,0,0
31R072,0,0
02M177,0,0
06M293,0,0
30Q127,0,0
27Q146,0,0
30Q126,0,0
11X175,0,0
17K531,0,0
31R024,0,0
19K661,0,0
27Q042,0,0
02M422,0,0
12X214,0,0
20K220,0,0
01M539,1,1
10X118,0,0
06M210,0,0
84X471,0,0
08X269,0,0
27Q202,0,0
84Q083,0,0
84M430,0,0
75X176,0,0
15K447,0,1
84K730,0,0
84K360,0,0
01M450,0,0
09X117,0,0
07X343,0,0
30Q235,0,0
31R049,0,0
25Q499,0,0
84Q304,0,0
03M859,0,1
04M171,0,0
08X101,0,0
06M528,0,0
21K099,1,0
84X488,0,0
04M825,0,0
12X384,0,0
25Q285,0,0
10X315,0,0
13K266,0,0
84K356,0,0
02M896,0,0
11X529,0,0
10X342,0,0
31R028,0,0
17K340,0,0
84M386,0,0
24Q102,0,0
84K593,0,0
03M245,0,0
06M322,0,0
84Q298,0,0
11X180,0,0
18K285,0,0
84K710,0,0
04M096,0,0
07X031,0,0
84X538,0,0
18K211,0,0
84X492,0,0
84K803,0,0
25Q250,0,0
84X703,0,0
09X232,0,0
84X345,0,0
21K095,1,0
09X361,0,0
28Q332,0,0
20K187,0,1
29Q109,0,0
26Q074,0,0
84M353,0,0
12X383,0,0
20K163,0,0
84M708,0,0
84X460,0,0
15K051,0,1
13K492,0,0
22K078,0,0
09X413,0,0
25Q164,0,0
23K644,0,0
84K737,0,0
20K030,0,0
04M072,0,0
24Q125,0,0
10X308,0,0
09X215,0,0
02M167,0,0
16K035,0,0
20K227,0,0
84M335,0,0
32K377,0,0
29Q138,0,0
14K084,0,0
04M377,0,0
13K113,0,0
84K536,0,0
02M126,0,0
04M224,0,0
27Q053,0,0
03M258,0,0
84K648,0,0
23K668,0,0
17K189,0,0
23K392,0,0
10X037,0,0
13K282,1,0
84M704,0,0
02M413,0,0
06M348,0,0
21K303,0,0
20K180,0,0
08X448,0,0
29Q270,0,0
10X447,0,0
11X144,0,0
29Q289,0,0
84X704,0,0
09X327,0,0
25Q200,0,0
10X390,0,0
30Q286,0,0
84K652,0,0
09X219,0,0
05M286,0,0
07X221,0,0
84X378,0,0
25Q294,0,0
28Q358,0,0
15K821,0,0
15K088,0,0
84K740,0,0
10X095,0,0
30Q300,1,1
09X022,0,0
14K071,0,0
11X083,0,0
24Q113,0,0
23K664,0,0
22K234,0,0
30Q204,0,0
04M012,1,1
32K291,0,0
02M255,0,1
84M284,0,0
27Q232,0,0
32K383,0,0
23K327,0,0
84K757,0,0
32K045,0,0
07X298,0,0
14K318,0,0
31R080,0,0
08X424,0,0
08X131,0,0
03M243,0,0
06M324,0,0
09X218,0,0
10X391,0,0
18K581,0,0
03M054,0,1
24Q128,0,0
30Q141,0,0
84X494,0,0
84K782,0,0
84M482,0,0
08X371,0,0
12X273,0,0
75R025,0,0
08X367,0,0
17K002,0,0
10X368,0,0
84K517,0,0
31R002,0,0
30Q291,0,0
06M349,0,0
27Q137,0,0
84X482,0,0
18K763,0,0
12X316,0,0
31R075,0,0
19K364,0,0
14K586,0,0
12X341,0,0
25Q237,0,0
84K608,0,0
29Q355,0,0
22K278,0,0
02M131,0,0
22K014,0,0
12X212,0,0
31R034,0,0
