dbn,grade_7_enrollment,num_shsat_test_takers,offers_per_student,pct_test_takers,high_registrations,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,rigorous_instruction_rating,collaborative_teachers_percent,collaborative_teachers_rating,supportive_environment_percent,supportive_environment_rating,effective_school_leadership_percent,effective_school_leadership_rating,strong_family_community_ties_percent,strong_family_community_ties_rating,trust_percent,trust_rating,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,number_of_students_english,number_of_students_math,number_of_students_science,number_of_students_social_studies,number_of_classes_english,number_of_classes_math,number_of_classes_science,number_of_classes_social_studies,average_class_size_english,average_class_size_math,average_class_size_science,average_class_size_social_studies,school_pupil_teacher_ratio
20K187,266,251,75,91,1,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,20,11219,0,0.48,,2,69,1,6,7,24,98.0,2.0,92.0,4.0,91.0,4.0,92.0,4.0,90.0,4.0,76.0,2.0,93.0,4.0,4.0,3.83,4.19,324,226,0,0,0,154,61,0,0,121,324,304,0,0,0,206,83,0,0,166,1052.0,934.0,1385.0,1313.0,42.0,37.0,49.0,46.0,25.04761904761905,25.243243243243235,28.26530612244898,28.54347826086957,17.599999999999994
21K239,422,336,46,78,1,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,21,11224,0,0.311,,1,28,7,5,12,54,96.0,7.0,88.0,3.0,89.0,4.0,87.0,3.0,86.0,3.0,73.0,2.0,91.0,3.0,3.0,3.53,3.71,355,175,0,5,4,45,110,11,0,32,352,205,0,5,6,64,119,11,0,44,2710.0,2164.0,1169.0,1553.0,87.0,69.0,37.0,50.0,31.149425287356323,31.36231884057971,31.594594594594593,31.06,16.5
03M054,295,257,53,91,1,J.H.S. 054 BOOKER T. WASHINGTON,3,10025,0,0.221,,2,9,8,12,20,64,96.0,5.0,85.0,,83.0,,87.0,,80.0,2.0,84.0,3.0,90.0,3.0,4.0,3.46,3.7,250,135,0,4,9,16,101,0,0,14,251,170,0,5,6,23,129,0,0,17,868.0,849.0,849.0,849.0,32.0,30.0,30.0,30.0,27.125,28.3,28.3,28.3,17.199999999999996
15K051,379,280,33,75,1,M.S. 51 WILLIAM ALEXANDER,15,11215,0,0.248,,2,12,10,19,29,57,97.0,3.0,87.0,4.0,88.0,3.0,89.0,4.0,85.0,3.0,74.0,2.0,90.0,3.0,4.0,3.5,3.49,354,186,0,8,12,27,134,0,0,13,354,188,0,5,10,28,140,0,0,15,1156.0,992.0,1125.0,1092.0,42.0,35.0,39.0,38.0,27.523809523809533,28.34285714285714,28.84615384615385,28.73684210526316,17.199999999999996
02M312,177,163,62,90,1,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,2,10011,0,0.308,,1,47,2,7,10,34,98.0,2.0,88.0,3.0,91.0,4.0,90.0,4.0,83.0,3.0,85.0,3.0,92.0,3.0,4.0,3.62,3.94,173,85,0,0,0,45,27,8,0,27,173,130,0,0,0,74,41,11,0,43,,535.0,541.0,,,19.0,18.0,,,28.157894736842106,30.055555555555557,,16.0
21K098,499,372,21,75,1,I.S. 98 BAY ACADEMY,21,11235,0,0.445,,1,27,3,10,13,59,96.0,8.0,94.0,4.0,96.0,4.0,89.0,3.0,91.0,4.0,70.0,2.0,94.0,3.0,4.0,3.47,3.8,489,238,0,2,16,67,148,0,0,126,487,303,0,5,18,94,176,0,0,163,2548.0,3033.0,1702.0,1724.0,84.0,100.0,56.0,59.0,30.33333333333333,30.33,30.392857142857146,29.22033898305085,22.600000000000005
20K201,508,338,19,64,1,J.H.S. 201 THE DYKER HEIGHTS,20,11228,0,0.5579999999999999,,8,46,0,14,14,39,97.0,7.0,92.0,4.0,94.0,4.0,88.0,4.0,87.0,3.0,70.0,2.0,94.0,4.0,4.0,3.13,3.36,476,102,0,0,0,59,35,0,1,67,486,214,0,0,0,146,57,0,4,150,1714.0,1512.0,1513.0,1514.0,58.0,54.0,51.0,52.0,29.551724137931036,28.0,29.66666666666667,29.115384615384613,18.1
26Q074,369,233,23,55,1,J.H.S. 074 NATHANIEL HAWTHORNE,26,11361,0,0.258,,4,66,5,10,15,18,98.0,4.0,85.0,3.0,87.0,4.0,85.0,4.0,87.0,3.0,73.0,2.0,88.0,3.0,4.0,3.29,3.58,367,114,0,1,3,83,25,2,0,42,374,198,0,1,3,157,34,3,3,78,2601.0,2393.0,1492.0,1122.0,107.0,90.0,52.0,40.0,24.30841121495327,26.58888888888889,28.69230769230769,28.05,16.900000000000002
26Q216,470,304,19,62,1,J.H.S. 216 GEORGE J. RYAN,26,11365,0,0.399,,8,68,6,11,17,14,97.0,5.0,88.0,4.0,85.0,4.0,85.0,4.0,81.0,3.0,75.0,2.0,86.0,2.0,4.0,3.1,3.41,430,96,0,4,9,74,7,0,1,50,438,161,0,7,10,128,14,0,4,87,1764.0,1523.0,1850.0,1424.0,59.0,49.0,59.0,46.0,29.89830508474576,31.081632653061227,31.355932203389827,30.956521739130434,18.5
25Q185,494,250,17,46,1,J.H.S. 185 EDWARD BLEEKER,25,11354,0,0.443,,10,55,4,29,32,12,96.0,10.0,89.0,3.0,92.0,4.0,87.0,3.0,87.0,3.0,71.0,2.0,93.0,3.0,3.0,2.92,3.29,467,102,0,0,15,74,11,0,0,66,485,180,0,0,17,148,11,0,7,132,1509.0,1502.0,1502.0,1502.0,63.0,55.0,55.0,55.0,23.952380952380953,27.30909090909091,27.30909090909091,27.30909090909091,15.900000000000004
