DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,Intermediate School 187,The Christa McAuliffe School,251,205,75%,8%
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,Intermediate School 239,The Mark Twain Intermediate School for the Gifted and Talented,336,196,46%,13%
03M054,J.H.S. 054 BOOKER T. WASHINGTON,Junior High School 54,The Booker T. Washington School,257,150,53%,23%
15K051,M.S. 51 WILLIAM ALEXANDER,Midde School 51,The William Alexander School,280,122,33%,28%
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,,New York City Lab Middle School for Collaborative Studies,163,113,62%,8%
21K098,I.S. 98 BAY ACADEMY,Intermediate School 98,The Bay Academy School,372,104,21%,12%
20K201,J.H.S. 201 THE DYKER HEIGHTS,Junior High School 201,The Dyker Heights School,338,101,19%,16%
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,Junior High School 74,The Nathaniel Hawthorne School,233,95,23%,15%
26Q216,J.H.S. 216 GEORGE J. RYAN,Junior High School 216,The George J. Ryan School,304,95,19%,18%
25Q185,J.H.S. 185 EDWARD BLEEKER,Junior High School 185,The Edward Bleeker School,250,93,17%,32%
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",,"New Explorations into Science, Technology and Math School",126,91,67%,19%
20K259,J.H.S. 259 WILLIAM MCKINLEY,Junior High School 259,The William McKinley School,309,86,15%,21%
26Q158,M.S. 158 MARIE CURIE,Middle School 158,The Marie Curie School,236,84,22%,20%
26Q067,J.H.S. 067 LOUIS PASTEUR,Junior High School 67,The Louis Pasteur School,211,82,27%,15%
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,Junior High School 234,The Arthur W. Cunningham School,370,79,12%,30%
02M167,J.H.S. 167 ROBERT F. WAGNER,Junior High School 167,The Robert F. Wagner School,258,77,18%,22%
02M114,EAST SIDE MIDDLE SCHOOL,,East Side Middle School,124,75,49%,12%
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,Intermediate School 73,The Frank Sansivieri Intermediate School,394,73,10%,59%
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,Middle School 255,The Salk School of Science,108,70,55%,13%
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,,Baccalaureate School for Global Education,94,62,52%,21%
