Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
56,0.8273153153153153,0.7564095492164566,0.898221081414174,0.621209052855912,0.42925862960045935,0.8131594761113646
"(56, 56)",0.8083603603603603,0.6807015573691921,0.9360191633515285,0.6016505152795476,0.3649487861894778,0.8383522443696174
"(56, 56, 56)",0.8083963963963964,0.7196514331932886,0.8971413595995041,0.5228738930391332,0.18504482190619298,0.8607029641720735
"(56, 56, 56, 56)",0.8138378378378379,0.7191039137235788,0.908571761952097,0.5864939418457775,0.3668417914126168,0.8061460922789383
"(56, 56, 56, 112)",0.8083963963963964,0.7050435814394912,0.9117492113533016,0.5882266771793314,0.3556160070526072,0.8208373473060556
"(56, 56, 112)",0.8164684684684683,0.6791269211616237,0.953810015775313,0.6023747648747648,0.29074194829519145,0.9140075814543382
"(56, 56, 112, 56)",0.821873873873874,0.7010976433466363,0.9426501044011117,0.625506072874494,0.377246445936243,0.873765699812745
"(56, 56, 112, 112)",0.8164684684684685,0.6908661151287186,0.9420708218082184,0.6061199130164647,0.34727324597991993,0.8649665800530095
"(56, 112)",0.8326486486486486,0.7292297752176423,0.9360675220796549,0.6366666666666667,0.4235557826440788,0.8497775506892546
"(56, 112, 56)",0.8191711711711711,0.7241133626188372,0.914228979723505,0.6113288288288288,0.3928082880372846,0.8298493696203729
"(56, 112, 56, 56)",0.8245405405405407,0.7152536126179603,0.9338274684631211,0.6128822055137844,0.36175334771474094,0.8640110633128277
"(56, 112, 56, 112)",0.8164684684684683,0.6908661151287183,0.9420708218082183,0.6096633728512286,0.35838612345401394,0.8609406222484433
"(56, 112, 112)",0.8272432432432433,0.6975442871814992,0.9569421993049874,0.6425137347972836,0.39565340693353346,0.8893740626610337
"(56, 112, 112, 56)",0.829945945945946,0.7199322143851943,0.9399596775066976,0.6309839355917869,0.3642767869010017,0.897691084282572
"(56, 112, 112, 112)",0.8138018018018018,0.6766609051903867,0.950942698413217,0.6197240699679725,0.3859066764004464,0.8535414635354985
112,0.8191711711711711,0.6859983205216574,0.9523440218206848,0.6111018711018711,0.3085093118204819,0.9136944303832603
"(112, 56)",0.8272792792792792,0.7240909494741596,0.9304676090843989,0.6202574002574002,0.37664588761858564,0.8638689128962147
"(112, 56, 56)",0.8164684684684683,0.6811855299894451,0.9517514069474915,0.6243859785179728,0.3668904094720563,0.8818815475638894
"(112, 56, 56, 56)",0.821873873873874,0.7146351289716065,0.9291126187761415,0.6177585520731022,0.3548169425578626,0.8807001615883416
"(112, 56, 56, 112)",0.8192072072072072,0.6959035220673828,0.9425108923470316,0.6158320042530568,0.35222434288108134,0.8794396656250323
"(112, 56, 112)",0.8273153153153153,0.7297579216897239,0.9248727089409068,0.6412858195354609,0.42329725070996993,0.8592743883609519
"(112, 56, 112, 56)",0.821981981981982,0.7189447456287171,0.9250192183352469,0.6245804492621131,0.4061826859916395,0.8429782125325866
"(112, 56, 112, 112)",0.8381621621621621,0.719278536067579,0.9570457882567452,0.6581578555656158,0.41260936308322005,0.9037063480480115
"(112, 112)",0.8056936936936937,0.702040842792196,0.9093465445951914,0.589298245614035,0.3603424542518675,0.8182540369762025
"(112, 112, 56)",0.8245765765765766,0.7115025619396804,0.9376505912134727,0.620235243732697,0.38224822037706674,0.8582222670883273
"(112, 112, 56, 56)",0.8218018018018018,0.6807022006103907,0.962901402993213,0.6335286096196912,0.3631184379409726,0.9039387812984097
"(112, 112, 56, 112)",0.8192072072072072,0.7318731821542328,0.9065412322601816,0.6179638752052545,0.41057804372961504,0.825349706680894
"(112, 112, 112)",0.8326846846846847,0.71771077388857,0.9476585954807994,0.6405771651869656,0.4104305161753935,0.8707238141985377
"(112, 112, 112, 56)",0.8165045045045044,0.7014154516527056,0.9315935573563032,0.6194910039325958,0.3869935651670233,0.8519884426981683
"(112, 112, 112, 112)",0.8164324324324325,0.6942374812910649,0.9386273835738,0.6034883919197727,0.3111419129675015,0.8958348708720438
