,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
108,1,4.0,30Q145,I.S. 145 JOSEPH PULITZER,0.682,582,137,23,90,144,57.6
107,2,5.0,22K278,J.H.S. 278 MARINE PARK,0.494,428,98,33,63,76,38.0
45,3,10.0,30Q230,I.S. 230,0.601,439,157,36,57,38,38.0
40,4,10.0,20K220,J.H.S. 220 JOHN J. PERSHING,0.828,473,181,34,45,27,27.0
289,5,2.0,24Q311,CORONA ARTS AND SCIENCES ACADEMY,0.7859999999999999,294,16,13,95,127,25.400000000000002
60,6,6.0,30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,0.7070000000000001,240,59,32,64,41,24.599999999999998
31,7,9.0,24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,0.643,614,264,41,54,27,24.3
454,8,3.0,24Q093,I.S. 093 RIDGEWOOD,0.675,357,78,20,72,75,22.5
56,9,2.0,27Q210,J.H.S. 210 ELIZABETH BLACKWELL,0.602,643,169,26,67,106,21.200000000000003
35,10,9.0,21K281,I.S. 281 JOSEPH B CAVALLARO,0.631,492,171,42,29,23,20.7
22,11,10.0,25Q194,J.H.S. 194 WILLIAM CARR,0.34,416,147,37,31,20,20.0
443,12,8.0,15K821,SUNSET PARK PREP,0.807,165,53,32,76,24,19.200000000000003
432,13,9.0,22K207,P.S. 207 ELIZABETH G. LEARY,0.315,162,43,30,49,19,17.1
98,14,7.0,11X181,I.S. 181 PABLO CASALS,0.534,295,124,42,89,24,16.799999999999997
24,15,10.0,25Q237,I.S. 237,0.562,508,194,45,25,16,16.0
460,16,2.0,20K062,J.H.S. 062 DITMAS,0.741,434,104,26,55,65,13.0
77,17,6.0,11X083,P.S. 083 DONALD HERTZ,0.611,220,77,33,58,20,12.0
59,18,2.0,15K088,J.H.S. 088 PETER ROUGET,0.7190000000000001,466,163,39,71,53,10.600000000000001
52,19,2.0,27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,0.541,617,179,27,37,50,10.0
69,20,5.0,21K228,I.S. 228 DAVID A. BOODY,0.636,417,160,38,34,18,9.0
47,21,6.0,20K227,J.H.S. 227 EDWARD B. SHALLOW,0.731,496,197,42,25,14,8.4
73,22,10.0,24Q049,P.S. 049 DOROTHY BONAWIT KOLE,0.348,142,43,32,26,8,8.0
344,23,10.0,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,0.667,61,22,17,89,8,8.0
461,24,1.0,29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,0.609,471,123,23,67,79,7.9
68,25,9.0,25Q189,J.H.S. 189 DANIEL CARTER BEARD,0.63,248,97,39,28,8,7.2
445,26,2.0,30Q010,I.S. 010 HORACE GREELEY,0.605,233,56,22,58,36,7.2
36,27,10.0,25Q025,I.S. 025 ADRIEN BLOCK,0.336,346,147,44,25,7,7.0
376,28,4.0,29Q208,P.S./I.S. 208,0.302,92,28,27,87,16,6.4
102,29,9.0,02M131,M.S. 131,0.8370000000000001,165,54,38,22,7,6.3
63,30,6.0,20K223,J.H.S. 223 THE MONTAUK,0.792,341,142,43,31,10,6.0
41,31,3.0,30Q227,I.S. 227 LOUIS ARMSTRONG,0.5539999999999999,472,206,44,59,20,6.0
49,32,10.0,05M362,COLUMBIA SECONDARY SCHOOL,0.507,99,42,20,65,6,6.0
446,33,1.0,27Q226,J.H.S. 226 VIRGIL I. GRISSOM,0.55,320,58,17,55,58,5.800000000000001
392,34,4.0,27Q232,P.S. 232 LINDENWOOD,0.369,121,33,32,50,14,5.6000000000000005
439,35,2.0,17K189,P.S. 189 THE BILINGUAL CENTER,0.735,150,49,41,97,27,5.4
48,36,1.0,28Q217,J.H.S. 217 ROBERT A. VAN WYCK,0.628,533,175,31,55,53,5.300000000000001
416,37,1.0,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,0.7809999999999999,181,39,24,96,51,5.1000000000000005
