,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
460,1,7.0,20K062,J.H.S. 062 DITMAS,0.741,434.0,104.0,26.0,55.0,65,45.5
459,2,9.0,17K061,M.S. 061 DR. GLADSTONE H. ATWELL,0.713,279.0,96.0,35.0,94.0,44,39.6
45,3,10.0,30Q230,I.S. 230,0.601,439.0,157.0,36.0,57.0,38,38.0
40,4,10.0,20K220,J.H.S. 220 JOHN J. PERSHING,0.828,473.0,181.0,34.0,45.0,27,27.0
31,5,10.0,24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,0.643,614.0,264.0,41.0,54.0,27,27.0
416,6,5.0,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,0.7809999999999999,181.0,39.0,24.0,96.0,51,25.5
52,7,5.0,27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,0.541,617.0,179.0,27.0,37.0,50,25.0
48,8,4.0,28Q217,J.H.S. 217 ROBERT A. VAN WYCK,0.628,533.0,175.0,31.0,55.0,53,21.200000000000003
71,9,6.0,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),0.418,249.0,75.0,15.0,66.0,34,20.4
22,10,10.0,25Q194,J.H.S. 194 WILLIAM CARR,0.34,416.0,147.0,37.0,31.0,20,20.0
77,11,10.0,11X083,P.S. 083 DONALD HERTZ,0.611,220.0,77.0,33.0,58.0,20,20.0
282,12,7.0,01M450,EAST SIDE COMMUNITY SCHOOL,0.61,105.0,16.0,8.0,74.0,28,19.599999999999998
443,13,8.0,15K821,SUNSET PARK PREP,0.807,165.0,53.0,32.0,76.0,24,19.200000000000003
432,14,10.0,22K207,P.S. 207 ELIZABETH G. LEARY,0.315,162.0,43.0,30.0,49.0,19,19.0
439,15,7.0,17K189,P.S. 189 THE BILINGUAL CENTER,0.735,150.0,49.0,41.0,97.0,27,18.9
69,16,10.0,21K228,I.S. 228 DAVID A. BOODY,0.636,417.0,160.0,38.0,34.0,18,18.0
98,17,7.0,11X181,I.S. 181 PABLO CASALS,0.534,295.0,124.0,42.0,89.0,24,16.799999999999997
278,18,4.0,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,0.46399999999999997,116.0,15.0,4.0,93.0,41,16.400000000000002
24,19,10.0,25Q237,I.S. 237,0.562,508.0,194.0,45.0,25.0,16,16.0
103,20,9.0,08X101,M.S. X101 EDWARD R. BYRNE,0.489,176.0,66.0,44.0,66.0,16,14.4
47,21,10.0,20K227,J.H.S. 227 EDWARD B. SHALLOW,0.731,496.0,197.0,42.0,25.0,14,14.0
